id_receta,nombre_receta,ingrediente,ingrediente_original,ingrediente_homologado,cantidad,unidad,cadena,producto_profeco,precio_kg_litro_mxn,unidad_precio,costo_ingrediente_mxn,tipo_conversion,ingredientes_requeridos,precio_total_receta_mxn,ingredientes_con_precio
16001,Granny Hampton's English Shortbread,butter,"1/2  lb    butter, at room temperature",butter,226.7962,gramos,Chedraui,Mantequilla,273.7,kg,62.07,directa,3,69.57,3
16001,Granny Hampton's English Shortbread,powdered sugar flour,"1/2  cup    powdered sugar, sifted with flour",sugar,100.0,gramos,Chedraui,Azúcar,28.2,kg,2.82,densidad_aproximada,3,69.57,3
16001,Granny Hampton's English Shortbread,all - purpose flour,"2   cups    all-purpose flour, sifted twice",flour,240.0,gramos,Soriana,Harina de Trigo,19.8,kg,4.75,densidad_aproximada,3,73.19,3
16001,Granny Hampton's English Shortbread,butter,"1/2  lb    butter, at room temperature",butter,226.7962,gramos,Soriana,Mantequilla,288.8,kg,65.5,directa,3,73.19,3
16001,Granny Hampton's English Shortbread,powdered sugar flour,"1/2  cup    powdered sugar, sifted with flour",sugar,100.0,gramos,Soriana,Azúcar,29.4,kg,2.94,densidad_aproximada,3,73.19,3
16001,Granny Hampton's English Shortbread,all - purpose flour,"2   cups    all-purpose flour, sifted twice",flour,240.0,gramos,Walmart,Harina de Trigo,18.5,kg,4.44,densidad_aproximada,3,72.65,3
16001,Granny Hampton's English Shortbread,butter,"1/2  lb    butter, at room temperature",butter,226.7962,gramos,Walmart,Mantequilla,288.9,kg,65.52,directa,3,72.65,3
16001,Granny Hampton's English Shortbread,powdered sugar flour,"1/2  cup    powdered sugar, sifted with flour",sugar,100.0,gramos,Walmart,Azúcar,26.9,kg,2.69,densidad_aproximada,3,72.65,3
18091,Orange Candy Frosting,confectioners  sugar,1   cup    confectioners' sugar,sugar,200.0,gramos,Chedraui,Azúcar,28.2,kg,5.64,densidad_aproximada,2,13.77,2
18091,Orange Candy Frosting,orange juice,1   cup    orange juice,orange juice,0.2366,litros,Chedraui,Jugo de Fruta,34.38,litro,8.13,volumen,2,13.77,2
